Date,Adj Close
2015-07-06,36.709999084472656
2015-07-07,36.619998931884766
2015-07-08,34.70000076293945
2015-07-09,34.5
2015-07-10,34.689998626708984
2015-07-13,36.77999877929688
2015-07-14,36.93000030517578
2015-07-15,37.5099983215332
2015-07-16,38.630001068115234
2015-07-17,38.38999938964844
2015-07-20,40.470001220703125
2015-07-21,39.34999847412109
2015-07-22,38.38999938964844
2015-07-23,37.0099983215332
2015-07-24,37.0
2015-07-27,36.38999938964844
2015-07-28,37.59999847412109
2015-07-29,37.95000076293945
2015-07-30,38.45000076293945
2015-07-31,38.70000076293945
2015-08-03,39.38999938964844
2015-08-04,38.95000076293945
2015-08-05,39.27000045776367
2015-08-06,38.84999847412109
2015-08-07,39.130001068115234
2015-08-10,39.04999923706055
2015-08-11,38.84999847412109
2015-08-12,38.18999862670898
2015-08-13,37.619998931884766
2015-08-14,38.13999938964844
2015-08-17,38.72999954223633
2015-08-18,37.9900016784668
2015-08-19,37.18999862670898
2015-08-20,35.97999954223633
2015-08-21,34.25
2015-08-24,33.75
2015-08-25,32.70000076293945
2015-08-26,33.16999816894531
2015-08-27,34.619998931884766
2015-08-28,35.040000915527344
2015-08-31,35.0
2015-09-01,33.77000045776367
2015-09-02,35.06999969482422
2015-09-03,35.310001373291016
2015-09-04,34.290000915527344
2015-09-08,34.70000076293945
2015-09-09,34.369998931884766
2015-09-10,33.459999084472656
2015-09-11,33.54999923706055
2015-09-14,33.77000045776367
2015-09-15,33.79999923706055
2015-09-16,33.77000045776367
2015-09-17,33.31999969482422
2015-09-18,32.91999816894531
2015-09-21,34.25
2015-09-22,33.349998474121094
2015-09-23,34.15999984741211
2015-09-24,33.90999984741211
2015-09-25,33.77000045776367
2015-09-28,32.25
2015-09-29,30.6299991607666
2015-09-30,31.040000915527344
2015-10-01,31.479999542236328
2015-10-02,32.83000183105469
2015-10-05,32.66999816894531
2015-10-06,31.86000061035156
2015-10-07,32.380001068115234
2015-10-08,31.670000076293945
2015-10-09,32.060001373291016
2015-10-12,32.630001068115234
2015-10-13,33.220001220703125
2015-10-14,34.04999923706055
2015-10-15,34.619998931884766
2015-10-16,34.290000915527344
2015-10-19,34.84000015258789
2015-10-20,34.869998931884766
2015-10-21,33.83000183105469
2015-10-22,34.790000915527344
2015-10-23,34.9900016784668
2015-10-26,36.43999862670898
2015-10-27,35.939998626708984
2015-10-28,36.52000045776367
2015-10-29,35.90999984741211
2015-10-30,36.0099983215332
2015-11-02,36.9900016784668
2015-11-03,37.900001525878906
2015-11-04,37.59999847412109
2015-11-05,36.709999084472656
2015-11-06,36.2400016784668
2015-11-09,36.59999847412109
2015-11-10,37.0
2015-11-11,36.33000183105469
2015-11-12,35.56999969482422
2015-11-13,34.529998779296875
2015-11-16,35.61000061035156
2015-11-17,36.209999084472656
2015-11-18,36.220001220703125
2015-11-19,36.18999862670898
2015-11-20,36.36000061035156
2015-11-23,35.560001373291016
2015-11-24,35.119998931884766
2015-11-25,35.36000061035156
2015-11-27,35.18000030517578
2015-11-30,35.2599983215332
2015-12-01,35.16999816894531
2015-12-02,35.150001525878906
2015-12-03,34.22999954223633
2015-12-04,35.619998931884766
2015-12-07,35.15999984741211
2015-12-08,35.599998474121094
2015-12-09,35.06999969482422
2015-12-10,35.4900016784668
2015-12-11,34.689998626708984
2015-12-14,35.0099983215332
2015-12-15,36.31999969482422
2015-12-16,35.97999954223633
2015-12-17,35.540000915527344
2015-12-18,34.97999954223633
2015-12-21,36.08000183105469
2015-12-22,36.80500030517578
2015-12-23,37.11000061035156
2015-12-24,37.06999969482422
2015-12-28,36.61000061035156
2015-12-29,37.08000183105469
2015-12-30,36.47999954223633
2015-12-31,36.20000076293945
2016-01-04,34.75
2016-01-05,34.310001373291016
2016-01-06,33.97999954223633
2016-01-07,33.130001068115234
2016-01-08,32.689998626708984
2016-01-11,33.040000915527344
2016-01-12,33.08000183105469
2016-01-13,32.119998931884766
2016-01-14,32.869998931884766
2016-01-15,32.310001373291016
2016-01-19,32.20000076293945
2016-01-20,31.200000762939453
2016-01-21,31.200000762939453
2016-01-22,31.690000534057617
2016-01-25,31.46999931335449
2016-01-26,31.96999931335449
2016-01-27,31.59000015258789
2016-01-28,34.2400016784668
2016-01-29,36.13999938964844
2016-02-01,37.08000183105469
2016-02-02,36.83000183105469
2016-02-03,37.0099983215332
2016-02-04,37.16999816894531
2016-02-05,35.06999969482422
2016-02-08,33.61000061035156
2016-02-09,32.70000076293945
2016-02-10,32.900001525878906
2016-02-11,33.52000045776367
2016-02-12,34.29999923706055
2016-02-16,35.459999084472656
2016-02-17,36.36000061035156
2016-02-18,36.310001373291016
2016-02-19,35.7599983215332
2016-02-22,36.0
2016-02-23,35.47999954223633
2016-02-24,36.470001220703125
2016-02-25,36.7400016784668
2016-02-26,37.4900016784668
2016-02-29,38.13999938964844
2016-03-01,39.25
2016-03-02,39.15999984741211
2016-03-03,39.02000045776367
2016-03-04,39.040000915527344
2016-03-07,38.97999954223633
2016-03-08,38.15999984741211
2016-03-09,38.56999969482422
2016-03-10,38.4900016784668
2016-03-11,39.4900016784668
2016-03-14,39.380001068115234
2016-03-15,39.27000045776367
2016-03-16,39.84000015258789
2016-03-17,39.93000030517578
2016-03-18,39.40999984741211
2016-03-21,41.13999938964844
2016-03-22,41.31999969482422
2016-03-23,40.52000045776367
2016-03-24,38.91999816894531
2016-03-28,38.7400016784668
2016-03-29,39.52999877929688
2016-03-30,39.040000915527344
2016-03-31,38.59999847412109
2016-04-01,39.400001525878906
2016-04-04,38.790000915527344
2016-04-05,38.54999923706055
2016-04-06,39.15999984741211
2016-04-07,38.27999877929688
2016-04-08,38.40999984741211
