Date,Adj Close
1999-06-04,7.4375
1999-06-07,7.75
1999-06-08,9.84375
1999-06-09,9.6875
1999-06-10,8.59375
1999-06-11,8.0
1999-06-14,7.625
1999-06-15,7.75
1999-06-16,8.34375
1999-06-17,10.03125
1999-06-18,9.3125
1999-06-21,9.75
1999-06-22,9.875
1999-06-23,9.3125
1999-06-24,9.0
1999-06-25,11.3125
1999-06-28,13.9375
1999-06-29,15.75
1999-06-30,20.5
1999-07-01,19.25
1999-07-02,18.5
1999-07-06,20.78125
1999-07-07,19.75
1999-07-08,21.96875
1999-07-09,25.375
1999-07-12,27.46875
1999-07-13,25.34375
1999-07-14,26.71875
1999-07-15,35.625
1999-07-16,34.5625
1999-07-19,34.5
1999-07-20,31.40625
1999-07-21,29.34375
1999-07-22,30.40625
1999-07-23,29.4375
1999-07-26,25.75
1999-07-27,27.0
1999-07-28,28.8125
1999-07-29,25.375
1999-07-30,25.0
1999-08-02,22.25
1999-08-03,20.5625
1999-08-04,17.25
1999-08-05,17.3125
1999-08-06,16.0625
1999-08-09,14.9375
1999-08-10,18.75
1999-08-11,21.4375
1999-08-12,22.75
1999-08-13,27.21875
1999-08-16,29.5
1999-08-17,28.3125
1999-08-18,26.65625
1999-08-19,25.8125
1999-08-20,27.4375
1999-08-23,30.4375
1999-08-24,33.3125
1999-08-25,31.71875
1999-08-26,30.34375
1999-08-27,28.625
1999-08-30,31.0
1999-08-31,33.90625
1999-09-01,32.25
1999-09-02,32.75
1999-09-03,34.75
1999-09-07,37.65625
1999-09-08,34.75
1999-09-09,35.5
1999-09-10,37.3125
1999-09-13,36.625
1999-09-14,34.96875
1999-09-15,32.390625
1999-09-16,35.0625
1999-09-17,34.375
1999-09-20,32.90625
1999-09-21,34.328125
1999-09-22,34.75
1999-09-23,32.875
1999-09-24,33.125
1999-09-27,34.46875
1999-09-28,33.5
1999-09-29,33.75
1999-09-30,34.0
1999-10-01,34.03125
1999-10-04,33.6875
1999-10-05,36.75
1999-10-06,40.125
1999-10-07,36.9375
1999-10-08,39.03125
1999-10-11,46.0
1999-10-12,45.46875
1999-10-13,40.5
1999-10-14,39.90625
1999-10-15,37.5
1999-10-18,36.96875
1999-10-19,37.375
1999-10-20,42.75
1999-10-21,44.625
1999-10-22,45.375
1999-10-25,46.0
1999-10-26,49.5625
1999-10-27,68.5
1999-10-28,67.0
1999-10-29,69.375
1999-11-01,76.3125
1999-11-02,74.875
1999-11-03,74.25
1999-11-04,72.34375
1999-11-05,69.25
1999-11-08,65.0
1999-11-09,69.625
1999-11-10,71.375
1999-11-11,68.5
1999-11-12,67.5625
1999-11-15,66.75
1999-11-16,75.03125
1999-11-17,77.1875
1999-11-18,77.9375
1999-11-19,72.25
1999-11-22,70.6875
1999-11-23,63.5
1999-11-24,63.5
1999-11-26,62.9375
1999-11-29,60.4375
1999-11-30,56.5625
1999-12-01,59.5625
1999-12-02,61.25
1999-12-03,59.25
1999-12-06,58.0
1999-12-07,73.78125
1999-12-08,65.5
1999-12-09,66.0625
1999-12-10,67.75
1999-12-13,65.53125
1999-12-14,59.25
1999-12-15,57.25
1999-12-16,57.90625
1999-12-17,57.5
1999-12-20,54.875
1999-12-21,55.0
1999-12-22,52.5
1999-12-23,53.875
1999-12-27,60.5
1999-12-28,56.0625
1999-12-29,55.25
1999-12-30,54.375
1999-12-31,57.0
2000-01-03,59.75
2000-01-04,58.96875
2000-01-05,55.40625
2000-01-06,51.0625
2000-01-07,49.3125
2000-01-10,51.03125
2000-01-11,50.25
2000-01-12,47.375
2000-01-13,46.46875
2000-01-14,49.0
2000-01-18,56.4375
2000-01-19,55.28125
2000-01-20,59.734375
2000-01-21,64.90625
2000-01-24,65.0
2000-01-25,66.75
2000-01-26,57.25
2000-01-27,53.75
2000-01-28,49.25
2000-01-31,47.0
2000-02-01,48.125
2000-02-02,50.75
2000-02-03,48.21875
2000-02-04,47.125
2000-02-07,48.0
2000-02-08,47.75
2000-02-09,46.0625
2000-02-10,44.75
2000-02-11,49.1875
2000-02-14,51.0
2000-02-15,49.96875
2000-02-16,48.0625
2000-02-17,51.75
2000-02-18,48.5
2000-02-22,47.0
2000-02-23,46.28125
2000-02-24,46.28125
2000-02-25,47.59375
2000-02-28,46.75
2000-02-29,45.0
2000-03-01,45.9375
2000-03-02,45.125
2000-03-03,48.34375
2000-03-06,53.75
2000-03-07,53.625
2000-03-08,49.5
2000-03-09,54.5
2000-03-10,57.875
2000-03-13,54.84375
2000-03-14,50.0
2000-03-15,46.375
2000-03-16,46.53125
2000-03-17,47.625
2000-03-20,45.03125
2000-03-21,44.375
2000-03-22,44.9375
2000-03-23,43.71875
2000-03-24,41.65625
2000-03-27,43.34375
2000-03-28,42.0
2000-03-29,38.75
2000-03-30,35.53125
2000-03-31,33.875
2000-04-03,29.1875
2000-04-04,33.5
2000-04-05,32.0625
2000-04-06,34.46875
2000-04-07,36.5625
2000-04-10,33.125
2000-04-11,32.5
2000-04-12,28.3125
2000-04-13,28.21875
2000-04-14,22.125
2000-04-17,24.40625
2000-04-18,28.375
2000-04-19,27.5
2000-04-20,26.375
2000-04-24,26.0625
2000-04-25,29.3515625
2000-04-26,22.0625
2000-04-27,22.5
2000-04-28,23.34375
2000-05-01,21.75
2000-05-02,20.6875
2000-05-03,20.34375
2000-05-04,19.6875
2000-05-05,16.96875
2000-05-08,16.875
2000-05-09,15.875
2000-05-10,14.625
2000-05-11,14.90625
2000-05-12,15.9375
2000-05-15,16.53125
2000-05-16,19.0
2000-05-17,20.3125
2000-05-18,18.25
2000-05-19,17.1875
2000-05-22,17.0
2000-05-23,16.09375
2000-05-24,16.46875
2000-05-25,15.625
2000-05-26,15.5
2000-05-30,17.03125
2000-05-31,16.125
2000-06-01,18.375
2000-06-02,20.25
2000-06-05,22.0
2000-06-06,21.03125
2000-06-07,21.25
2000-06-08,23.71875
2000-06-09,24.375
2000-06-12,22.125
2000-06-13,23.3125
2000-06-14,22.53125
2000-06-15,21.2265625
2000-06-16,21.40625
2000-06-19,20.90625
2000-06-20,22.0
2000-06-21,23.34375
2000-06-22,25.0
2000-06-23,24.0
2000-06-26,24.25
2000-06-27,24.96875
2000-06-28,25.0
2000-06-29,26.59375
2000-06-30,27.28125
2000-07-03,26.4375
2000-07-05,24.0625
2000-07-06,23.6875
2000-07-07,22.0
2000-07-10,22.0625
2000-07-11,22.75
2000-07-12,22.84375
2000-07-13,27.5625
2000-07-14,26.0
2000-07-17,26.75
2000-07-18,26.6875
2000-07-19,24.5625
2000-07-20,24.5
2000-07-21,23.40625
2000-07-24,21.28125
2000-07-25,21.40625
2000-07-26,23.875
2000-07-27,22.46875
2000-07-28,22.0
2000-07-31,22.59375
2000-08-01,23.25
2000-08-02,21.84375
2000-08-03,22.4375
2000-08-04,22.8125
2000-08-07,22.875
2000-08-08,22.421875
2000-08-09,22.75
2000-08-10,22.75
2000-08-11,22.9375
2000-08-14,23.34375
2000-08-15,23.125
2000-08-16,24.1875
2000-08-17,25.1875
2000-08-18,25.375
2000-08-21,26.875
2000-08-22,25.75
2000-08-23,25.0
2000-08-24,24.5
2000-08-25,24.5625
2000-08-28,26.21875
2000-08-29,25.59375
2000-08-30,26.375
2000-08-31,29.0
2000-09-01,29.15625
2000-09-05,30.5
2000-09-06,27.25
2000-09-07,26.3125
2000-09-08,24.375
2000-09-11,23.28125
2000-09-12,23.375
2000-09-13,22.0
2000-09-14,20.5625
2000-09-15,20.875
2000-09-18,19.75
2000-09-19,19.90625
2000-09-20,21.46875
2000-09-21,21.0
2000-09-22,19.625
2000-09-25,19.4609375
2000-09-26,17.875
2000-09-27,17.15625
2000-09-28,17.90625
2000-09-29,17.0
2000-10-02,15.125
2000-10-03,13.96875
2000-10-04,16.59375
2000-10-05,15.9375
2000-10-06,15.28125
2000-10-09,16.0
2000-10-10,15.625
2000-10-11,15.40625
2000-10-12,13.40625
2000-10-13,14.78125
2000-10-16,15.09375
2000-10-17,13.75
2000-10-18,12.375
2000-10-19,14.84375
2000-10-20,15.125
2000-10-23,16.5
2000-10-24,15.40625
2000-10-25,13.5
2000-10-26,14.3125
2000-10-27,14.375
2000-10-30,13.625
2000-10-31,15.5
2000-11-01,16.46875
2000-11-02,19.625
2000-11-03,19.3125
2000-11-06,18.0
2000-11-07,17.8515625
2000-11-08,18.25
2000-11-09,17.40625
2000-11-10,17.0
2000-11-13,17.0
2000-11-14,18.625
2000-11-15,18.28125
2000-11-16,17.46875
2000-11-17,16.0625
2000-11-20,14.125
2000-11-21,13.75
2000-11-22,12.625
2000-11-24,14.5625
2000-11-27,13.53125
2000-11-28,12.78125
2000-11-29,13.625
2000-11-30,12.4375
2000-12-01,12.59375
2000-12-04,12.1875
2000-12-05,14.46875
2000-12-06,13.375
2000-12-07,12.4375
2000-12-08,14.0
2000-12-11,13.40625
2000-12-12,13.28125
2000-12-13,12.65625
2000-12-14,11.71875
2000-12-15,10.9375
2000-12-18,9.1875
2000-12-19,7.5
2000-12-20,6.03125
2000-12-21,6.75
2000-12-22,7.25
2000-12-26,7.3125
2000-12-27,6.875
2000-12-28,5.5625
2000-12-29,4.75
2001-01-02,5.125
2001-01-03,6.5
2001-01-04,7.375
2001-01-05,5.84375
2001-01-08,5.40625
2001-01-09,5.625
2001-01-10,5.53125
2001-01-11,5.96875
2001-01-12,6.0
2001-01-16,6.03125
2001-01-17,6.4375
2001-01-18,6.5
2001-01-19,6.0625
2001-01-22,6.125
2001-01-23,6.28125
2001-01-24,6.78125
2001-01-25,8.34375
2001-01-26,7.75
2001-01-29,7.78125
2001-01-30,7.8125
2001-01-31,8.5
2001-02-01,7.8125
2001-02-02,7.03125
2001-02-05,6.8125
2001-02-06,6.9375
2001-02-07,6.53125
2001-02-08,6.40625
2001-02-09,6.21875
2001-02-12,6.0
2001-02-13,5.5625
2001-02-14,5.4375
2001-02-15,5.65625
2001-02-16,5.21875
2001-02-20,4.8125
2001-02-21,4.4375
2001-02-22,4.09375
2001-02-23,4.125
2001-02-26,4.1875
2001-02-27,3.890625
2001-02-28,3.484375
2001-03-01,3.875
2001-03-02,3.8125
2001-03-05,3.40625
2001-03-06,3.859375
2001-03-07,3.78125
2001-03-08,3.515625
2001-03-09,3.25
2001-03-12,2.84375
2001-03-13,3.0
2001-03-14,2.9375
2001-03-15,2.78125
2001-03-16,2.515625
2001-03-19,3.25
2001-03-20,3.375
2001-03-21,3.242187976837158
2001-03-22,3.359375
2001-03-23,3.71875
2001-03-26,3.28125
2001-03-27,3.203125
2001-03-28,2.90625
2001-03-29,2.75
2001-03-30,2.671875
2001-04-02,2.671875
2001-04-03,2.25
2001-04-04,1.875
2001-04-05,2.171875
2001-04-06,2.28125
2001-04-09,2.289999961853028
2001-04-10,2.2699999809265137
2001-04-11,2.484999895095825
2001-04-12,2.650000095367432
2001-04-16,2.880000114440918
2001-04-17,2.75
2001-04-18,3.059999942779541
2001-04-19,4.275000095367432
2001-04-20,4.050000190734863
2001-04-23,3.575000047683716
2001-04-24,3.5999999046325684
2001-04-25,3.5
2001-04-26,3.595000028610229
2001-04-27,3.5
2001-04-30,3.744999885559082
2001-05-01,3.775000095367432
2001-05-02,4.574999809265137
2001-05-03,5.465000152587891
2001-05-04,5.949999809265137
2001-05-07,5.96999979019165
2001-05-08,5.550000190734863
2001-05-09,5.994999885559082
2001-05-10,6.03000020980835
2001-05-11,5.724999904632568
2001-05-14,5.125
2001-05-15,5.309999942779541
2001-05-16,5.710000038146973
2001-05-17,5.614999771118164
2001-05-18,5.579999923706055
2001-05-21,6.079999923706055
2001-05-22,6.954999923706055
2001-05-23,6.650000095367432
